start time 0:hr:min:sec,end time 0:hr:min:sec,Layer,Annotations,Layer
0:02:18.02,0:02:27.36,Electronic tones and distortions,"Mid-pitch, mid-volume consistant electronic buzzing sound. Accompanied by low-pitch buzzing sound which begins at low volume and increases in pitch and volume until a consistant, multitonal electronic sound is audiblee across all pitches. Then, volume decreases slightly until sound cuts off.",
0:02:27.37,0:02:31.8,Electronic tones and distortions,"Distorted, static tone, followed by mid-pitchl, mid-volume electronic toe which increases and then decreases. ",
0:02:30.97,0:02:44.71,Electronic tones and distortions,"Polyphonic electronic sound which loops on a ~4 second interval from low pitch and low volume to combined low and mid pitch and mid volume. Periodic pop with hard onset and offset, mid pitch and mid volume at the beginning of each loop.",
0:02:32.71,0:02:42.85,Speaking voices,"Oana's voice, speaking with a grave tone and relatively low pitch. Phrases are broken up into groups of 2 words, with pauses between words. Volume decreases and onset/offset becomes softer throughout this interval.",
0:02:44.72,0:03:15,Electronic tones and distortions,"Polyphonic, periodic electronic tone increases to high volume, then tapers off",
0:03:12.83,0:03:43.5,Speaking voices,"One mid pitch voice speaking. Little intonation (i.e. most syllables are stressed), resulting in choppy-sounding words (e.g. ve-hi-cules). Shout pauses between words. Call-and-response form (e.g. ""...right? Yeah, that's what it looks like to me."") suggests two speakers, but there's only one voice. Elements that presumably refer to descriptive rather than spoken text (e.g. ""unintelligible,"" ""explicative"") included within flow of speech, uttered by same speaker.",
0:03:44.99,0:04:09.45,Electronic tones and distortions,"Polyphonic electronic sound which loops on a ~4 second interval from mid-low pitch, mid volume, and prominent static to low pitch and low volume. Periodic pop with hard onset and offset, mid pitch and mid volume at the end of each loop.",
0:03:44.99,0:04:42.134,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound",
0:03:57.27,0:04:40.85,Speaking voices,"Oana's voice, speaking at mid pitch and mid volume. Variable groupings of 1-10 words with pauses between. Variable speaking speed.  Emphasis on ""time turns deadly"" through relatively high volume and pitch, as well as hard onset.",
0:04:09.46,0:04:17.70,Electronic tones and distortions,"Polyphonic electronic sound continues to loop on a ~4 second interval, with added resonant brassy tone at the beginning of each loop.",
0:04:17.71,0:04:42.59,Electronic tones and distortions,"Polyphonic electronic sound continues to loop on a ~4 second interval, without resonant brassy tone. ",
0:04:19.58,0:04:36,Friction sounds,"Muffled, low-mid pitch, low volume scratchy sound which fluctuates on inconsistant intervals",
0:04:23.22,0:04:23.27,Friction sounds,"High volume, hollow sounding pop across all pitches, but concentrated in the low to mid range. Hard onset and offset. ",
0:04:42.59,0:04:43.0,Silence,"Silent, except for a very low-volume resonant sound",
0:04:43.07,0:04:53.8,Electronic tones and distortions,"Low pitch static sound, accompanied by mid-high pitch tone which crescendoes, spreading across all pitches and increasing in volume. The tone has a brassy, resonant character. Then, decreases in volume until inaudible.",
0:04.43.31,0:04:51.50,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound",
0:04:51.51,0:06:30.9,Electronic tones and distortions,"Polyphonic electronic sound which loops on a ~4 second interval from low pitch and low volume to combined low and mid pitch and mid volume. Periodic pop with hard onset and offset, mid pitch and mid volume at the beginning of each loop.",
0:04:52.1,0:05:07.31,Speaking voices,"Oana's voice, mid pitch and volume, speaking with relatively few pauses. Repetition of ""end."" Speech slows and decreases in volume near the end of this interval.",
0:04:57.29,0:05:06.21,Friction sounds,Various friction sounds at varying intervals. Increase in pitch and decrease in coarseness of the tones.,
0:05:11.1,0:05:23.1,Speaking voices,Oana's voice at low speed and mid-low pitch. Paises between words increase and offset softens.,
0:05:27,0:05:50,Friction sounds,Muffled acute brassy sounds which occur at various intervals and resonate. Various mid pitches and low volume. ,
0:05:50.0,0:06:30.1,Speaking voices,"Oana's voice, speaking quickly with generally hard onset and soft offset. Repetition of ""the subject""",
0:05:59.08,0:06:18.29,Electronic tones and distortions,Distorted tone which fluctuates in mid pitch and mid volume ranges,
0:05:58.7,0:06:07.7,Friction sounds,Crunching sound at high-mid pitch and low -mid volume,
0:06:31.0,0:06:30.918,Silence,Silence,
